machine_id,temperature,vibration,pressure,production,maintenance_cost,maintenance_date,failure,shift
M101,78,0.21,110,520,1200,10-01-2025,0,A
M102,95,0.65,130,410,2500,12-01-2025,1,B
M103,70,0.18,105,600,1000,05-02-2025,0,A
M104,88,0.42,118,480,1800,08-02-2025,0,C
M105,99,0.75,135,390,3200,01-03-2025,1,B
M106,82,0.29,112,550,1400,10-03-2025,0,A
M107,91,0.62,128,430,2700,02-04-2025,1,C
M108,76,0.2,108,610,900,15-04-2025,0,B
M109,85,0.37,116,500,1600,06-05-2025,0,A
M110,98,0.7,132,405,3000,18-05-2025,1,C
